,trait,efo,confidence
451,Oncostatin-M levels,oncostatin M,5
452,PD-L1 levels,PDA1,3
453,Sirtuin-2 levels,sirtuin-2 measurement,5
454,SLAMF1 levels,HPAF1,3
455,Sulfotransferase 1A1 levels,sulfotransferase 1A1 measurement,4
456,STAM binding protein levels,level of STAM-binding protein in blood,4
457,Transforming growth factor-alpha levels,protransforming growth factor alpha amount,4
458,Tumor necrosis factor receptor superfamily member 9 levels,tumor necrosis factor receptor superfamily member 9 amount,5
459,Tumor necrosis factor ligand superfamily member 10 levels,tumor necrosis factor ligand superfamily member 10 amount,5
460,Tumor necrosis factor ligand superfamily member 11 levels,tumor necrosis factor ligand superfamily member 11 measurement,5
461,Tumor necrosis factor ligand superfamily member 12 levels,tumor necrosis factor ligand superfamily member 12 amount,5
462,Vascular endothelial growth factor A levels,vascular endothelial growth factor A amount,5
463,Frozen shoulder,Limited shoulder movement,4
464,Childhood body mass index,body mass index,4
465,Age-related hearing impairment (MTAG),age-related hearing impairment,5
466,COVID-19 (critical illness vs population),obsolete severe COVID-19 infection,5
467,Myeloperoxidase-DNA complexes,myeloperoxidase (MPO)-DNA complex measurement,4
468,Colorectal cancer (Firth correction),colorectal cancer,5
469,Thyroid cancer (Firth correction),thyroid carcinoma,5
470,Coronary artery disease (Firth correction),coronary artery disease,5
471,Glaucoma (Firth correction),glaucoma,5
472,Colorectal cancer (SPA correction),colorectal cancer,5
473,Thyroid cancer (SPA correction),thyroid cancer,5
474,Coronary artery disease (SPA correction),coronary artery disease,5
475,Glaucoma (SPA correction),glaucoma,5
476,Body mass index (UKB data field 21001),body mass index,5
477,Direct low density lipoprotein levels (UKB data field 30780),low-density lipoprotein,5
478,Total bilirubin levels (UKB data field 30840),bilirubin measurement,5
479,Mood swings (UKB data field 1920) (Firth correction),mood instability measurement,4
480,Miserableness,feeling miserable measurement,5
481,Irritability (UKB data field 1940) (Firth correction),irritability measurement,4
482,Bell's palsy (Firth correction),Bell's palsy,5
483,Spinal cord disorder (Firth correction),spinal cord disease,4
484,Depression (Firth correction),mood disorder,5
485,Sjogren's syndrome (Firth correction),Sjogren syndrome,5
486,Clotting disorder excessive bleeding (Firth correction),"bleeding disorder, vascular-type",4
487,Osteoarthritis (Firth correction),osteoarthritis,5
488,High cholesterol (Firth correction),total cholesterol measurement,4
489,goiter (Firth correction),goiter,5
490,Insomnia (Firth correction),insomnia,5
491,Psoriasis (Firth correction),psoriasis,5
492,Angina (Firth correction),angina pectoris,5
493,Pulmonary embolism (Firth correction),Pulmonary embolism,5
494,Asthma (Firth correction),asthma,5
495,Cholelithiasis gall stones (Firth correction),cholelithiasis,5
496,Urinary tract infection or kidney infection (Firth correction),urinary tract infection,5
497,Type 1 diabetes (Firth correction),type 1 diabetes mellitus,5
498,Type 2 diabetes (Firth correction),type 2 diabetes mellitus,5
499,Hypothyroidism or myxoedema (Firth correction),"hypothyroidism, congenital, nongoitrous",4
500,Guillain-Barré syndrome (Firth correction),Guillain-Barre syndrome,5
501,Epilepsy (Firth correction),epilepsy,5
502,Retinal detachment (Firth correction),retinal detachment,5
503,Back problem (Firth correction),Back pain,5
504,Muscle or soft tissue problem (Firth correction),muscle tissue disorder,4
505,Allergy hypersensitivity anaphylaxis (Firth correction),anaphylaxis,5
506,Bronchitis (Firth correction),bronchitis,5
507,Inflammatory bowel disease (Firth correction),inflammatory bowel disease,5
508,Atrial fibrillation (Firth correction),atrial fibrillation,5
509,Cystitis (Firth correction),cystitis,5
510,Retinitis pigmentosa (Firth correction),retinitis pigmentosa,5
511,Macular degeneration (Firth correction),age-related macular degeneration,5
512,Cellulitis (Firth correction),cellulitis,5
513,Guilty feelings (UKB data field 2030) (Firth correction),Abnormal emotional state,4
514,Risk taking (UKB data field 2040) (Firth correction),risk-taking behaviour,4
515,Seen doctor for nerves anxiety tension or depression (UKB data field 2090) (Firth correction),mental or behavioural disorder,4
516,Seen psychiatrist for nerves anxiety tension or depression (UKB data field 2100) (Firth correction),mental or behavioural disorder,4
517,Hearing difficulty problems (UKB data field 2247) (Firth correction),Hearing impairment,5
518,Chest pain or discomfort (UKB data field 2335) (Firth correction),Chest pain,5
519,Fractured bones in last 5 years (UKB data field 2463) (Firth correction),multiple bone fractures,4
520,short-sightedness,blindness (disorder),3
521,Cataract (Firth correction),cataract,5
522,High blood pressure (UKB data field 6150) (Firth correction),Hypertension,5
523,Pain type(s) experienced in last month: Headache,obsolete_migraine without aura,4
524,Pain type(s) experienced in last month: Hip pain (UKB data field 6159_6) (Firth correction),LDH-related sciatica symptom severity measurement,3
525,Cholesterol lowering medication use (UKB data field 6177_1) (Firth correction),cholesterol metabolism disease,4
526,Allergic rhinitis (Firth correction),allergic rhinitis,5
527,Any parental history of Alzheimer's disease (Firth correction),family history of Alzheimer’s disease,5
528,Any parental history of lung cancer (Firth correction),family history of lung cancer,5
529,Mood swings (UKB data field 1920) (SPA correction),mood disorder,4
530,Miserableness (UKB data field 1930) (SPA correction),feeling miserable measurement,5
531,Irritability (UKB data field 1940) (SPA correction),irritability,5
532,Bell's palsy (SPA correction),Bell's palsy,5
533,Spinal cord disorder (SPA correction),spinal cord disease,4
534,Depression (SPA correction),mood disorder,5
535,Sjogren's syndrome (SPA correction),Sjogren syndrome,5
536,Clotting disorder or excessive bleeding (SPA correction),Abnormality of coagulation,4
537,Osteoarthritis (SPA correction),osteoarthritis,5
538,High cholesterol (SPA correction),cholesterol,4
539,goiter (SPA correction),goiter,5
540,Insomnia (SPA correction),insomnia,5
541,Psoriasis (SPA correction),psoriasis,5
542,Angina (SPA correction),angina pectoris,5
543,Pulmonary embolism (SPA correction),Pulmonary embolism,5
544,Asthma (SPA correction),asthma,5
545,Cholelithiasis gall stones (SPA correction),cholelithiasis,5
546,Urinary tract infection or kidney infection (SPA correction),urinary tract infection,5
547,Type 1 diabetes (SPA correction),type 1 diabetes mellitus,5
548,Type 2 diabetes (SPA correction),type 2 diabetes mellitus,5
549,Hypothyroidism or myxoedema (SPA correction),"hypothyroidism, congenital, nongoitrous",4
550,Guillain-Barré syndrome (SPA correction),Guillain-Barre syndrome,5
551,Epilepsy (SPA correction),epilepsy,5
552,Retinal detachment (SPA correction),retinal detachment,5
553,Back problem (SPA correction),Back pain,5
554,Muscle or soft tissue problem (SPA correction),soft tissue disease,4
555,Allergy hypersensitivity anaphylaxis (SPA correction),anaphylaxis,5
556,Bronchitis (SPA correction),bronchitis,5
557,Inflammatory bowel disease (SPA correction),inflammatory bowel disease,5
558,Atrial fibrillation (SPA correction),atrial fibrillation,5
559,Cystitis (SPA correction),cystitis,5
560,Retinitis pigmentosa (SPA correction),retinitis pigmentosa,5
561,Macular degeneration (SPA correction),age-related macular degeneration,4
562,Cellulitis (SPA correction),cellulitis,5
563,Guilty feelings,Abnormal emotional state,4
564,Risk taking,risk-taking behaviour,4
565,Seen doctor for nerves anxiety tension or depression (UKB data field 2090) (SPA correction),mental or behavioural disorder,4
566,Seen psychiatrist for nerves anxiety tension or depression (UKB data field 2100) (SPA correction),mental or behavioural disorder,4
567,Hearing difficulty problems (UKB data field 2247) (SPA correction),hearing disorder,4
568,Chest pain or discomfort (UKB data field 2335) (SPA correction),Chest pain,5
569,Fractured bones in last 5 years (UKB data field 2463) (SPA correction),multiple bone fractures,4
570,Reason for glasses/contact lenses: short-sightedness (UKB data field 6147_1) (SPA correction),lens of camera-type eye,2
571,Cataract (SPA correction),cataract,5
572,High blood pressure (UKB data field 6150) (SPA correction),Hypertension,5
573,Pain type(s) experienced in last month: Headache (UKB data field 6159_1),obsolete_migraine without aura,4
574,Pain type(s) experienced in last month: Hip pain (UKB data field 6159_6) (SPA correction),chronic post-operative pain measurement,3
575,Cholesterol lowering medication use (UKB data field 6177_1) (SPA correction),cholesterol metabolism disease,4
576,Allergic rhinitis (SPA correction),allergic rhinitis,5
577,Any parental history of Alzheimer's disease (SPA correction),family history of Alzheimer’s disease,5
578,Any parental history of lung cancer (SPA correction),family history of lung cancer,5
579,Townsend deprivation index at recruitment (UKB data field 189),social deprivation,5
580,Body fat percentage (UKB data field 23099),body fat percentage,5
581,White blood cell leukocyte count (UKB data field 30000),leukocyte quantity,5
582,Red blood cell erythrocyte count,erythrocyte count,5
583,Haemoglobin concentration (UKB data field 30020),hemoglobin measurement,5
584,Mean corpuscular volume (UKB data field 30040),increased mean corpuscular volume,4
585,Platelet count (UKB data field 30080),platelet count,5
586,Mean platelet thrombocyte volume (UKB data field 30100),obsolete_mean platelet volume,4
587,Lymphocyte count (UKB data field 30120),lymphocyte count,5
588,Monocyte count (UKB data field 30130),monocyte count,5
589,Neutrophill count (UKB data field 30140),neutrophil count,5
590,Eosinophil count (UKB data field 30150),eosinophil count,5
591,Creatinine enzymatic in urine (UKB data field 30510),creatinine clearance measurement,4
592,Potassium in urine (UKB data field 30520),urine potassium amount,5
593,Sodium in urine (UKB data field 30530),urinary sodium measurement,4
594,Albumin levels (UKB data field 30600),serum albumin amount,5
595,Alkaline phosphatase levels (UKB data field 30610),alkaline phosphatase measurement,4
596,Alanine aminotransferase levels (UKB data field 30620),serum alanine aminotransferase measurement,5
597,Apolipoprotein A levels (UKB data field 30630),apolipoprotein A-I,5
598,Apolipoprotein B levels (UKB data field 30640),apolipoprotein B measurement,5
599,Peak expiratory flow (UKB data field 3064),peak expiratory flow,5
600,Aspartate aminotransferase levels (UKB data field 30650),aspartate aminotransferase measurement,4
601,Direct bilirubin levels (UKB data field 30660),bilirubin measurement,5
602,Urea levels (UKB data field 30670),blood urea nitrogen measurement,4
603,Calcium levels (UKB data field 30680),calcium measurement,5
604,Cholesterol levels (UKB data field 30690),total cholesterol measurement,5
605,Creatinine levels (UKB data field 30700),serum creatinine amount,4
606,C reactive protein levels (UKB data field 30710),C-reactive protein measurement,5
607,Cystatin C levels (UKB data field 30720),amount of cystatin-C (human) in blood,5
608,Gamma glutamyltransferase levels (UKB data field 30730),serum gamma-glutamyl transferase measurement,5
609,Glucose levels (UKB data field 30740),glucose measurement,5
610,Glycated haemoglobin HbA1c levels (UKB data field 30750),hemoglobin A1 measurement,5
611,High density lipoprotein cholesterol levels,high-density lipoprotein cholesterol,5
612,IGF 1 (UKB data field 30770),IGF-1 measurement,5
613,Phosphate levels (UKB data field 30810),blood phosphate measurement,4
614,Sex hormone binding globulin levels (UKB data field 30830),sex hormone-binding globulin measurement,5
615,Testosterone levels (UKB data field 30850),testosterone measurement,5
